Sample_ID	Porosity	Mean Phi	Sorting	Kurtosis	SiltyClay (phi>5)	Chl-a (µg/g)	Phaeo (µg/g)	d15N (o/oo)	d13C (o/oo)	TOC (mg/g)	TN (mg/g)	CN 
CBE3_0_1cm	0.816	4.514	1.887	1.554	29.7	1.22	4.1	7.51	-22.45	4.06	0.6	6.8
CBE3_1_2cm	0.527	4.514	1.887	1.554	29.7	0.89	4.14	8.16	-22.5	4.78	0.69	6.95
CBE3_2_3cm	0.464	4.514	1.887	1.554	29.7	0.87	3.66	8.18	-22.47	8.18	1.19	6.87
CBE3_3_4cm	0.531	4.514	1.887	1.554	29.7	0.7	2.64	7.92	-22.92	4.53	0.59	7.74
CBE3_4_5cm	0.463	4.514	1.887	1.554	29.7	0.61	2.83	7.71	-22.7	4.04	0.58	7
CL1_0_1cm	0.754	6.161	2.24	0.681	76.2	10.12	7.95	8.61	-22.96	16.39	2.2	7.44
CL1_1_2cm	0.649	6.161	2.24	0.681	76.2	2.02	4.25	5.36	-23.57	8.06	0.83	9.75
CL1_3_4cm	0.661	6.161	2.24	0.681	76.2	0.89	3.18	8.87	-23.81	7.67	0.84	9.15
CL1_4_5cm	0.609	6.161	2.24	0.681	76.2	0.85	3.03	6.18	-23.7	12.59	1.45	8.7
CL3_0_1cm	0.802	6.669	2.093	0.797	89.7	6.85	12.02	7.74	-21.84	19.46	3.07	6.35
CL3_1_2cm	0.764	6.669	2.093	0.797	89.7	2.8	8.74	8.75	-22.15	17.58	2.53	6.95
CL3_2_3cm	0.754	6.669	2.093	0.797	89.7	1.9	7.6	7.27	-22.49	14.62	1.97	7.43
CL3_3_4cm	0.767	6.669	2.093	0.797	89.7	1.89	7.92	8.83	-22.48	15.27	2.03	7.5
CL3_4_5cm	0.749	6.669	2.093	0.797	89.7	1.43	6.73	9.04	-22.57	16	2.11	7.57
CNL3_0_1cm	0.628	2.337	1.731	2.189	14.4	5.92	5.65	6.9	-21.55	5.59	0.94	5.96
CNL3_1_2cm	0.527	2.337	1.731	2.189	14.4	1.66	3.67	8.16	-21.73	4.58	0.75	6.07
CNL3_2_3cm	0.517	2.337	1.731	2.189	14.4	1.21	3.41	8.27	-22.63	2.24	0.34	6.52
CNL3_3_4cm	0.443	2.337	1.731	2.189	14.4	1.09	3.17	7.95	-20.85	7.1	1.26	5.65
CNL3_4_5cm	0.373	2.337	1.731	2.189	14.4	0.85	2.92	8.3	-22.01	10.31	1.54	6.68
CNL5_0_1cm	0.667	4.995	2.302	0.802	47.9	2.39	7.93	7.01	-22.55	7.28	0.99	7.36
CNL5_1_2cm	0.637	4.995	2.302	0.802	47.9	2.34	7.1	7.79	-22.34	10.75	1.52	7.09
CNL5_2_3cm	0.665	4.995	2.302	0.802	47.9	2.31	5.51	6.91	-22.3	8	1.13	7.11
CNL5_3_4cm	0.633	4.995	2.302	0.802	47.9	2.41	3.52	3.43	-22.52	5.23	0.87	6.04
CNL5_4_5cm	0.594	4.995	2.302	0.802	47.9	3.12	4.42	6.68	-22.48	6.19	0.86	7.19
DBO2.2_0_1cm	0.526	2.915	1.197	1.946	10.7	3.82	6.5	8.78	-21.81	6.83	1	6.8
DBO2.2_1_2cm	0.508	2.915	1.197	1.946	10.7	1.28	4.38	7.77	-22.24	3.19	0.45	7
DBO2.2_2_3cm	0.472	2.915	1.197	1.946	10.7	1.18	2.94	10.07	-22.07	2.7	0.4	6.75
DBO2.2_3_4cm	0.464	2.915	1.197	1.946	10.7	0.89	3.21	7.7	-21.68	2.32	0.37	6.29
DBO2.2_4_5cm	0.484	2.915	1.197	1.946	10.7	0.55	2.76	6.67	-22.02	2.07	0.31	6.6
DBO2.4_0_1cm	0.615	3.062	1.164	1.821	10.7	2.3	3.67	6.38	-21.37	3.65	0.54	6.76
DBO2.4_1_2cm	0.442	3.062	1.164	1.821	10.7	0.6	2.67	6.68	-21.66	4.89	0.72	6.82
DBO2.4_2_3cm	0.464	3.062	1.164	1.821	10.7	0.55	2.62	6.89	-21.87	2.82	0.39	7.2
DBO2.4_3_4cm	0.447	3.062	1.164	1.821	10.7	0.67	2.42	6.74	-21.89	3.81	0.53	7.2
DBO2.4_4_5cm	0.417	3.062	1.164	1.821	10.7	0.57	2.34	6.71	-22.14	2.82	0.37	7.57
DBO3.3_0_1cm	0.439	3.052	3.8	0.612	37.7	5.65	4.41	8	-21.96	3.77	0.61	6.19
