Station	Cruise	Year	Latitude	Longitude	Depth (m)	Temp (C)	Salinity	NH4 (mmol/m3)	NO2+NO3 (mmol/m3)	PO4 (mmol/m3)	H4SiO4 (mmol/m3)	SiltyClay (phi>5)	TOC (mg/g)	TN (mg/g)	CN 	Chla (mg/m2)	DIN:P
CBE3	ASGARD	2018	63.514	-168.179	32	1.82	31.76	1.79	5.49	1.393	22.8	29.7	4.06	0.6	6.8	11.95	3.94
CL1	ASGARD	2018	68.948	-166.91	46	0.02	31.92	2.42	9.01	1.517	18.6	76.2	16.39	2.2	7.44	49.21	5.94
CL3	ASGARD	2018	69.034	-168.89	53	-0.62	32.39	1.97	16.54	2.021	37.1	89.7	19.46	3.07	6.35	26.48	8.18
CNL3	ASGARD	2018	66.501	-168.956	56	1.74	32.76	2.5	7.96	1.227	12.7	14.4	5.59	0.94	5.96	58.5	6.49
CNL5	ASGARD	2018	67	-168.96	48	1.48	32.97	3.71	8.96	1.532	19.8	47.9	7.28	0.99	7.36	14.06	5.85
DBO2.2	ASGARD	2018	64.68	-169.101	46	2.31	32.36	0.83	7.33	1.254	10.4	10.7	6.83	1	6.8	28.96	5.85
DBO2.4	ASGARD	2018	64.96	-169.89	48	0.9	32.94	1.41	12.06	1.505	16.1	10.7	3.65	0.54	6.76	23.91	8.01
DBO3.3	ASGARD	2018	68.186	-167.31	48	0.48	32.67	3.43	4.22	1.215	8.2	37.7	3.77	0.61	6.19	38.99	3.47
DBO3.6	ASGARD	2018	67.898	-168.244	58	0.56	32.7	5.51	2.94	1.437	11.6	45.3	11.34	1.66	6.85	19.52	2.05
DBO3.8	ASGARD	2018	67.671	-168.959	51	1.74	32.86	5.8	4.85	1.543	12.9	61.7	15.43	2.32	6.63	8.02	3.14
IL4	ASGARD	2018	67.406	-165.824	39	2.07	32.46	1.36	0.94	0.76	1.1	93.3	17.88	2.36	7.59	36.6	1.24
DBO5.3	DBO	2014	71.331	-157.317	91	0.45	31.67	0.8	1.49	0.8	11.74	12	4.4	0.5	8.13	NA	1.86
DBO5.4	DBO	2014	71.358	-157.358	108	-0.93	31.98	1.3	3.15	0.9	18.15	9.68	3.4	0.3	12.84	NA	3.5
DBO5.5	DBO	2014	71.399	-157.465	126	-1.6	32.4	2	9.81	1.58	34.16	NA	5	0.5	9.2	NA	6.21
DBO4.1	DBO	2014	70.973	-161.901	45	-1.24	32.13	1.86	5.42	1.25	20.28	28.77	3.9	0.5	8.57	7.15	4.34
DBO4.2	DBO	2014	71.104	-162.264	47	-1.52	32.33	1.92	9.01	1.42	28.11	50.23	8.1	0.9	8.82	10.97	6.35
DBO4.3	DBO	2014	71.233	-162.635	46	-1.67	32.54	2.48	11.47	1.72	37.37	87.15	11.3	1.6	7.04	14.68	6.67
DBO4.5	DBO	2014	71.49	-163.388	43	-1.72	32.66	1.85	14.72	1.95	50.53	57.54	9.6	1.4	6.74	9.94	7.55
DBO4.6	DBO	2014	71.618	-163.771	42	-1.68	32.57	2.43	13.88	1.88	43.77	67.47	9.2	1.3	6.95	6.86	7.38
DBO3.1	DBO	2014	67.671	-168.909	50	2.24	32.68	2.43	7.79	1.37	4.63	92.64	12.5	2	6.22	20.1	5.69
DBO3.2	DBO	2014	67.783	-168.601	50	2.08	32.56	2.91	10.43	1.66	6.41	97.08	12.2	1.9	6.41	29.22	6.28
DBO3.3	DBO	2014	67.898	-168.235	59	2.14	32.45	2.64	10.07	1.27	3.56	62.63	11.3	1.8	6.4	37.69	7.93
DBO3.4	DBO	2014	68.012	-167.869	53	2	32.11	1.98	0.9	0.82	5.34	33.08	6.5	1	6.44	23.57	1.1
DBO3.5	DBO	2014	68.128	-167.496	50	3.28	31.64	0.64	0.27	0.52	3.56	28.91	6.4	0.9	7.33	23.99	0.52
DBO3.6	DBO	2014	68.185	-167.307	48	4.69	31.51	0.42	0.66	0.4	4.63	18.55	6.4	1	6.69	20.39	1.65
DBO3.7	DBO	2014	68.242	-167.122	43	5.71	31.22	0.38	0.29	0.49	6.41	33.96	6.8	0.9	7.54	35.49	0.59
DBO3.8	DBO	2014	68.3	-166.936	35	5.49	30.94	0.92	0.44	0.59	8.9	26.3	6.2	0.8	8.2	11.75	0.75
DBO1.1	DBO	2014	62.011	-175.059	81	-1.55	31.74	0.85	16.36	1.77	27.76	73.59	11.2	1.8	6.32	27.18	9.24
DBO1.2	DBO	2014	62.05	-175.209	84	-1.54	31.75	0.63	15.79	1.77	26.33	87.09	15.1	2.5	6.15	23.67	8.92
DBO1.4	DBO	2014	62.39	-174.57	71	-1.33	31.86	2.39	15.86	1.9	46.26	84.97	11	1.7	6.52	17.5	8.35
