SampleID	16Ssample	Depth	Latitude	Longitude	ChlA	d15N	d13C	C.N	TOC	TN	Temp	Sal	Year	GenArea
A1.02	A1.02	75	70.333393	-141.11682	3.21	4.82	-23.94	8.98	15.82	1.74	-1.48	33.27	2013	MackPlume
A1.100	A1.100	99	70.33296	-141.0577	3.26	4.71	-25.25	8.02	17.04	2.12	-1.35	32.52	2014	MackPlume
A1.20	A1.20	20	69.71918	-141.1392	75.9	6.15	-26.31	8.81	21.15	2.4	0.33	32.27	2014	MackPlume
A1.50	A1.50	50	70.0306	-141.0318	7.48	4.57	-25.29	9.25	12.6	1.36	-1.24	32.22	2014	MackPlume
A2.100	A2.100	109	70.47636	-141.9264	2.8	3.15	-22.03	9.71	6.23	0.64	-1.44	32.74	2014	MackPlume
A2.20	A2.20	22	69.97917	-142.2155	7.11	4.14	-21.01	10.82	11.5	1.06	-0.07	31.6	2014	MackPlume
A2.50	A2.50	53	70.30264	-142.139	8.24	4.43	-25.15	8.22	13.41	1.63	-1.28	32.27	2014	MackPlume
A4.100	A4.100	107	70.58208	-144.1533	7	5.57	-25.81	8.52	19.08	2.24	-1.42	32.61	2014	CamdenBay
A4.20	A4.20	20	70.20067	-144.1004	2.9	3.44	-14.2	15.31	1.1	0.07	-0.78	31.92	2014	CamdenBay
A4.25	A4.25	37	70.29041	-144.0718	2.8	3.79	-21.42	12.8	12.38	0.97	-0.81	31.94	2014	CamdenBay
A4.50	A4.50	54	70.46208	-144.0818	2.86	4.23	-15.89	13.98	15.44	1.11	-0.9	31.91	2014	CamdenBay
A5.100	A5.100	101	70.7149	-145.0745	1.35	4.81	-15.14	13.81	10.75	0.78	-1.44	32.65	2014	CamdenBay
A5.20	A5.20	20	70.11885	-145.1069	9.23	3.04	-23.71	11.71	7.37	0.63	-0.47	31.79	2014	CamdenBay
A5.35	A5.35	35	70.33366	-145.1102	5.57	4.52	-25.41	8.62	14.38	1.67	-1.27	31.92	2014	CamdenBay
A5.50	A5.50	51	70.547	-145.0811	3.22	4.84	-17.6	12.54	10.9	0.87	-1.43	32.42	2014	CamdenBay
A6.20	A6.20	20	70.27415	-146.0933	5.45	3.74	-25.39	9.75	15.62	1.6	-0.49	31.68	2014	CamdenBay
A6.37	A6.37	37	70.4508	-146.1016	5.87	4.73	-25.14	8.73	11.9	1.36	-1.4	32.09	2014	CamdenBay
A6.50	A6.50	50	70.64503	-146.0877	6.71	5.37	-25.32	8.14	20.91	2.57	-1.39	32.2	2014	CamdenBay
AGK.02	AGK.02_W	30	70.0465	-133.56033	9.16	3.04	-26.71	8.13	17.53	2.16	-1.03	31.65	2014	MackPlume
ALX.01	ALX.01	47	71.6174667	-120.33433	1.9	6.01	-11.36	18.02	22.37	1.24	-1.33	32.62	2014	Amundsen
B2.50	B2.50_W	50	71.166934	-151.10001	4.46	4.75	-25.02	9.45	20.34	2.15	0.83	32.23	2012	ColvillePlume
BarC3	Bac_C3	91	71.331	-157.317	NA	NA	NA	8.13	0.44	0.5	0.5	31.7	2014	Chukchi
BarC4	Bac_C4	108	71.358	-157.358	NA	NA	NA	12.84	0.34	0.3	-0.9	32	2014	Chukchi
BarC5	Bac_C5	126	71.399	-157.465	NA	NA	NA	9.2	0.5	0.5	-1.6	32.4	2014	Chukchi
BNK.06	BNK.06	55	72.9285	-126.39567	2.31	7.02	-11.15	15.04	10.68	0.71	-1.25	32.14	2014	BanksIsl
BPT.01	BPT.01	40	69.70355	-123.82007	5.56	6.36	-22.15	8.25	23.71	2.87	-1.19	32.38	2014	Amundsen
BPT.02	BPT.02	70	69.7009	-123.7893	10.67	6.15	-23.73	8.44	24.72	2.93	-1.36	32.89	2014	Amundsen
BPT.04	BPT.04	68	69.6970833	-123.239	5.17	5.48	-23.86	11.67	23.45	2.01	-1.36	32.91	2014	Amundsen
BPT.05	BPT.05	36	69.7015	-123.19943	6.34	5.13	-23.76	12.46	21.03	1.69	-0.89	31.72	2014	Amundsen
CBE3	CBE3	32	63.513619	-168.179084	1.22	7.51	-22.45	6.8	4.06	0.83	2	31.7	2018	Bering
CL1	CL1	46	68.947751	-166.909548	10.12	8.61	-22.96	7.44	16.39	2.2	0.015	31.9	2018	Bering
CL3	CL3	53	69.034354	-168.889792	6.85	7.74	-21.84	6.35	19.46	3.07	-0.6	32.3	2018	Bering
CNL3	CNL3	56	66.50072	-168.955988	5.92	6.90	-21.55	5.96	5.59	0.94	1.9	32.5	2018	Bering
CNL5	CNL5	48	67.00037	-168.960184	2.39	7.01	-22.55	7.36	7.28	0.99	1.5	33	2018	Bering
CPY.01	CPY.01	42.7	70.2266	-124.4943	4.13	5.3	-24.32	9.51	22.46	2.36	-0.9	32.15	2014	Amundsen
CPY.02	CPY.02	69	70.2586167	-124.50888	6.86	5.24	-24.37	9.6	18.08	1.88	-1.27	32.61	2014	Amundsen
DBO_4.1	DBO_4.1	45	70.973	-161.901	7.15	NA	NA	8.57	0.39	0.5	-1.2	32.1	2014	Chukchi
DBO_4.2	DBO_4.2	47	71.104	-162.264	10.97	NA	NA	8.82	0.81	0.9	-1.5	32.3	2014	Chukchi
DBO_4.3	DBO_4.3	46	71.233	-162.635	14.68	NA	NA	7.04	1.13	1.6	-1.7	32.5	2014	Chukchi
DBO_4.5	DBO_4.5	43	71.49	-163.388	9.94	NA	NA	6.74	0.96	1.4	-1.7	32.7	2014	Chukchi
DBO_4.6	DBO_4.6	42	71.618	-163.771	6.86	NA	NA	6.95	0.92	1.3	-1.7	32.6	2014	Chukchi
DBO2.2	DBO2.2	46	64.680382	-169.101448	3.82	8.78	-21.81	6.8	6.83	1	2.4	32.3	2018	Bering
DBO2.4	DBO2.4	48	64.959594	-169.890299	2.3	6.38	-21.37	6.76	3.65	0.54	1.6	32.9	2018	Bering
DBO3.3	DBO3.3	48	68.185977	-167.309592	5.65	8.00	-21.96	6.19	3.77	0.61	0.5	32.5	2018	Chukchi
DBO3.6	DBO3.6	58	67.89821	-168.244081	4.87	6.34	-22.21	6.85	11.34	1.66	0.56	32.7	2018	Chukchi
DBO3.8	DBO3.8	51	67.670681	-168.959246	1.83	8.83	-21.91	6.79	16.63	2.45	1.5	32.8	2018	Chukchi
ESC.03	ESC.03	17	70.3376667	-131.00517	3.27	5.37	-24.9	8.97	35.06	3.91	2.64	31.8	2014	MackPlume
ESC.04	ESC.04_W	19	70.0876667	-132.13883	12.22	4.05	-25.67	8.9	25.91	2.91	1.15	31.77	2014	MackPlume
FRK.01	FRK.01	32	70.0808333	-125.1985	3.52	4.49	-24.67	10.37	21.31	2.06	-1.01	32.13	2014	Amundsen
FRK.02	FRK.02	73	70.0853333	-125.41983	3.01	3.83	-25.64	10.48	20.72	1.98	-1.37	32.77	2014	Amundsen
FRK.07	FRK.07	37	70.0878333	-126.919	5.82	2.34	-26.97	11.86	21.13	1.78	-1.25	33.33	2014	Amundsen
GRY.02	GRY.02	75	70.000017	-137.66682	5.56	3.3	-26.32	8.32	15.82	1.9	-1.4	32.48	2013	MackPlume
IL4	IL4	39	67.405958	-165.823714	11.95	7.55	-22.75	7.59	17.88	2.36	2	32.5	2018	Chukchi
KUG.01	KUG.01	21	70.0088333	-133.8435	9.61	3.02	-26.12	9.19	21.72	2.36	1.68	30.9	2014	MackPlume
KUG.02	KUG.02	78	70.8493333	-134.66783	2.75	4.57	-25.19	7.49	18.13	2.42	-1.44	32.48	2014	MackPlume
MNT.04	MNT.04	70	71.3964833	-117.2014	5.68	7.63	-17.03	10.65	17.3	1.62	-1.3	32.49	2014	Amundsen
PWS.01	PWS.01	105	72.10885	-119.43293	5.43	7.46	-22.56	7.52	18.07	2.4	-1.36	32.96	2014	Amundsen
SEC1	SEC_1	50	67.671	-168.909	20.1	NA	NA	6.22	1.25	2	2.2	32.7	2014	Chukchi
SEC2	SEC_2	50	67.783	-168.601	29.22	NA	NA	6.41	1.22	1.9	2.1	32.6	2014	Chukchi
SEC3	SEC_3	59	67.898	-168.235	37.69	NA	NA	6.4	1.13	1.8	2.1	32.5	2014	Chukchi
SEC4	SEC_4	53	68.012	-167.869	23.57	NA	NA	6.44	0.65	1	2	32.1	2014	Chukchi
SEC5	SEC_5	50	68.128	-167.496	23.99	NA	NA	7.33	0.64	0.9	3.3	31.6	2014	Chukchi
SEC6	SEC_6	48	68.185	-167.307	20.39	NA	NA	6.69	0.64	1	4.7	31.5	2014	Chukchi
SEC7	SEC_7	43	68.242	-167.122	35.49	NA	NA	7.54	0.68	0.9	5.7	31.2	2014	Chukchi
SEC8	SEC_8	35	68.3	-166.936	11.75	NA	NA	8.2	0.62	0.8	5.5	30.9	2014	Bering
SLIP1	SLIP_1	81	62.011	-175.059	27.18	NA	NA	6.32	1.12	1.8	-1.5	31.7	2014	Bering
SLIP2	SLIP_2	84	62.05	-175.209	23.67	NA	NA	6.15	1.51	2.5	-1.5	31.8	2014	Bering
SLIP3	SLIP_3	71	62.39	-174.57	17.5	NA	NA	6.52	1.1	1.7	-1.3	31.9	2014	Bering
SLIP4	SLIP_4	71	63.03	-173.46	17.63	NA	NA	5.8	1.55	2.7	-1.6	32.5	2014	Bering
SLIP5	SLIP_5	65	62.56	-173.549	19.29	NA	NA	6.18	1.07	1.7	-1.5	32.1	2014	Bering
SMO.01	SMO.01	42	69.8603333	-126.7425	10.34	2.65	-26.97	12.67	24.51	1.93	-1.2	32.42	2014	Amundsen
TBS.100	TBS.100	101	70.24649	-140.3032	2.97	4.27	-22.82	9.74	14.77	1.52	-1.41	32.48	2014	MackPlume
UTBS1	UTBS_!	48	64.991	-169.141	16.88	NA	NA	6.47	0.47	0.7	1.7	32.7	2014	Chukchi
UTBS2	UTBS_2	45	64.682	-169.1	14.45	NA	NA	6.8	0.18	0.3	1.5	32.7	2014	Chukchi
UTBS4	UTBS_4	49	64.96	-169.891	19.19	NA	NA	6.86	0.33	0.5	2.2	32.7	2014	Chukchi
UTN1	UTN_1	35	66.712	-168.399	32.63	NA	NA	7.25	1.09	1.5	3.2	32	2014	Chukchi
UTN2	UTN_3	47	67.05	-168.729	28.6	NA	NA	6.85	0.74	1.1	2	32.6	2014	Chukchi
UTN3	UTN_4	50	67.33	-168.909	22.5	NA	NA	6.82	0.85	1.2	2.4	32.5	2014	Chukchi
UTN4	UTN_6	50	67.501	-168.904	18.34	NA	NA	6.11	1.03	1.7	2.3	32.5	2014	Chukchi
UTN6	UTN_7	50	67.741	-168.44	29.22	NA	NA	6.07	1.18	1.9	1.8	32.4	2014	Chukchi
